title,description,year,rating,director,writers,stars
Mr. Smith Goes to Washington,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",1939,8.1,['Frank Capra'],"['Sidney Buchman', 'Lewis R. Foster', 'Myles Connolly']","['James Stewart', 'Jean Arthur', 'Claude Rains']"
On the Waterfront,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",1954,8.1,['Elia Kazan'],"['Budd Schulberg', 'Malcolm Johnson', 'Robert Siodmak']","['Marlon Brando', 'Karl Malden', 'Lee J. Cobb']"
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",2017,8.1,['James Mangold'],"['James Mangold', 'Scott Frank', 'Michael Green']","['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen']"
Wild Strawberries,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",1957,8.1,['Ingmar Bergman'],[],"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin']"
Rocky,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,1976,8.1,['John G. Avildsen'],[],"['Sylvester Stallone', 'Talia Shire', 'Burt Young']"
Tokyo Story,"An old couple visit their children and grandchildren in the city, but receive little attention.",1953,8.1,['Yasujirô Ozu'],"['Kôgo Noda', 'Yasujirô Ozu']","['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura']"
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1949,8.1,['Carol Reed'],"['Graham Greene', 'Orson Welles', 'Alexander Korda']","['Orson Welles', 'Joseph Cotten', 'Alida Valli']"
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",2015,8.1,['Tom McCarthy'],"['Josh Singer', 'Tom McCarthy']","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']"
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",2003,8.1,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']"
The Terminator,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,1984,8.1,['James Cameron'],"['James Cameron', 'Gale Anne Hurd', 'William Wisher']","['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn']"
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",2024,8.4,['Nithilan Saminathan'],[],"['Vijay Sethupathi', 'Anurag Kashyap', 'Mamta Mohandas']"
The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",1998,8.1,[],"['Ethan Coen', 'Joel Coen']","['Jeff Bridges', 'John Goodman', 'Julianne Moore']"
The Seventh Seal,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",1957,8.1,['Ingmar Bergman'],[],"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot']"
La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,1995,8.1,['Mathieu Kassovitz'],[],"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']"
Room,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",2015,8.1,['Lenny Abrahamson'],[],"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers']"
