title,description,year,rating,director,writers,stars
Life Is Beautiful,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1997,8.6,['Roberto Benigni'],"['Vincenzo Cerami', 'Roberto Benigni']","['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']"
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1991,8.6,['James Cameron'],"['James Cameron', 'William Wisher']","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']"
Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977,8.6,['George Lucas'],[],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,8.5,['Robert Zemeckis'],"['Robert Zemeckis', 'Bob Gale']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']"
Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",2001,8.6,['Hayao Miyazaki'],[],"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino']"
The Pianist,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2002,8.5,['Roman Polanski'],"['Ronald Harwood', 'Wladyslaw Szpilman']","['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']"
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,8.5,['Ridley Scott'],"['David Franzoni', 'John Logan', 'William Nicholson']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']"
Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019,8.5,['Bong Joon Ho'],"['Bong Joon Ho', 'Han Jin-won']","['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']"
Psycho,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,1960,8.5,['Alfred Hitchcock'],"['Joseph Stefano', 'Robert Bloch']","['Anthony Perkins', 'Janet Leigh', 'Vera Miles']"
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,8.5,[],"['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']"
Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,1988,8.5,['Isao Takahata'],"['Akiyuki Nosaka', 'Isao Takahata']","['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi']"
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,8.5,['Martin Scorsese'],"['William Monahan', 'Alan Mak', 'Felix Chong']","['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']"
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,8.5,['Damien Chazelle'],[],"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']"
Harakiri,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1962,8.6,['Masaki Kobayashi'],"['Yasuhiko Takiguchi', 'Shinobu Hashimoto']","['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita']"
The Prestige,Rival 19th-century magicians engage in a bitter battle for trade secrets.,2006,8.5,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan', 'Christopher Priest']","['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']"
American History X,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1998,8.5,['Tony Kaye'],[],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]"
Léon: The Professional,An Italian hit man protects a New York orphan.,1994,8.5,['Luc Besson'],[],"['Jean Reno', 'Gary Oldman', 'Natalie Portman']"
Spider-Man: Across the Spider-Verse,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",2023,8.5,[],"['Phil Lord', 'Christopher Miller', 'Dave Callaham']","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry']"
Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1942,8.5,['Michael Curtiz'],"['Philip G. Epstein', 'Julius J. Epstein', 'Howard Koch']","['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']"
Cinema Paradiso,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",1988,8.5,['Giuseppe Tornatore'],"['Giuseppe Tornatore', 'Vanna Paoli']","['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']"
The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1995,8.5,['Bryan Singer'],[],"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']"
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,8.5,[],"['Olivier Nakache', 'Éric Toledano', 'Philippe Pozzo di Borgo']","['François Cluzet', 'Omar Sy', 'Anne Le Ny']"
Alien,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",1979,8.5,['Ridley Scott'],"[""Dan O'Bannon"", 'Ronald Shusett']","['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']"
Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,8.5,['Charles Chaplin'],[],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']"
Rear Window,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,1954,8.5,['Alfred Hitchcock'],"['John Michael Hayes', 'Cornell Woolrich']","['James Stewart', 'Grace Kelly', 'Wendell Corey']"
Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1968,8.5,['Sergio Leone'],"['Sergio Donati', 'Sergio Leone', 'Dario Argento']","['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']"
Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",2012,8.5,['Quentin Tarantino'],[],"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']"
City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,8.5,['Charles Chaplin'],"['Charles Chaplin', 'Harry Carr', 'Harry Crocker']","['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']"
Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1979,8.4,['Francis Ford Coppola'],"['John Milius', 'Francis Ford Coppola', 'Michael Herr']","['Martin Sheen', 'Marlon Brando', 'Robert Duvall']"
WALL·E,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",2008,8.4,['Andrew Stanton'],"['Andrew Stanton', 'Pete Docter', 'Jim Reardon']","['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']"
Memento,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,2000,8.4,['Christopher Nolan'],"['Christopher Nolan', 'Jonathan Nolan']","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']"
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",2024,8.5,['Denis Villeneuve'],"['Denis Villeneuve', 'Jon Spaihts', 'Frank Herbert']","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson']"
Raiders of the Lost Ark,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",1981,8.4,['Steven Spielberg'],"['Lawrence Kasdan', 'George Lucas', 'Philip Kaufman']","['Harrison Ford', 'Karen Allen', 'Paul Freeman']"
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,8.4,[],"['Christopher Markus', 'Stephen McFeely', 'Stan Lee']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
The Lives of Others,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",2006,8.4,['Florian Henckel von Donnersmarck'],[],"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']"
Sunset Boulevard,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1950,8.4,['Billy Wilder'],"['Charles Brackett', 'Billy Wilder', 'D.M. Marshman Jr.']","['William Holden', 'Gloria Swanson', 'Erich von Stroheim']"
Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,2018,8.4,[],"['Phil Lord', 'Rodney Rothman']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']"
Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,1957,8.4,['Billy Wilder'],"['Agatha Christie', 'Billy Wilder', 'Harry Kurnitz']","['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']"
Paths of Glory,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,1957,8.4,['Stanley Kubrick'],"['Stanley Kubrick', 'Calder Willingham', 'Jim Thompson']","['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']"
The Shining,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",1980,8.4,['Stanley Kubrick'],"['Stephen King', 'Stanley Kubrick', 'Diane Johnson']","['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']"
The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940,8.4,['Charles Chaplin'],[],"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']"
12th Fail,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,2023,8.7,['Vidhu Vinod Chopra'],"['Vidhu Vinod Chopra', 'Jaskunwar Kohli', 'Anurag Pathak']","['Vikrant Massey', 'Medha Shankr', 'Anant Joshi']"
Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,8.4,['Quentin Tarantino'],[],"['Brad Pitt', 'Diane Kruger', 'Eli Roth']"
Aliens,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",1986,8.4,['James Cameron'],"['James Cameron', 'David Giler', 'Walter Hill']","['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']"
The Dark Knight Rises,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",2012,8.4,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']","['Christian Bale', 'Tom Hardy', 'Anne Hathaway']"
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017,8.4,[],"['Lee Unkrich', 'Jason Katz', 'Matthew Aldrich']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']"
Amadeus,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",1984,8.4,['Milos Forman'],"['Peter Shaffer', 'Zdenek Mahler']","['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']"
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,8.4,[],"['Christopher Markus', 'Stephen McFeely', 'Stan Lee']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
Toy Story,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",1995,8.3,['John Lasseter'],"['John Lasseter', 'Pete Docter', 'Andrew Stanton']","['Tom Hanks', 'Tim Allen', 'Don Rickles']"
Good Will Hunting,"A therapist counsels Will Hunting, a janitor with a genius IQ.",1997,8.3,['Gus Van Sant'],"['Matt Damon', 'Ben Affleck']","['Robin Williams', 'Matt Damon', 'Ben Affleck']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1964,8.3,['Stanley Kubrick'],"['Stanley Kubrick', 'Terry Southern', 'Peter George']","['Peter Sellers', 'George C. Scott', 'Sterling Hayden']"
Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",2003,8.3,['Park Chan-wook'],"['Garon Tsuchiya', 'Nobuaki Minegishi', 'Park Chan-wook']","['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong']"
Das Boot,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,1981,8.4,['Wolfgang Petersen'],"['Wolfgang Petersen', 'Lothar G. Buchheim']","['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']"
High and Low,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,1963,8.4,['Akira Kurosawa'],"['Hideo Oguni', 'Ryûzô Kikushima', 'Eijirô Hisaita']","['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']"
Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995,8.3,['Mel Gibson'],[],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']"
American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999,8.3,['Sam Mendes'],[],"['Kevin Spacey', 'Annette Bening', 'Thora Birch']"
Princess Mononoke,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",1997,8.3,['Hayao Miyazaki'],[],"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']"
Your Name.,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",2016,8.4,['Makoto Shinkai'],[],"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']"
3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2009,8.4,['Rajkumar Hirani'],"['Abhijat Joshi', 'Rajkumar Hirani', 'Vidhu Vinod Chopra']","['Aamir Khan', 'Madhavan', 'Mona Singh']"
Joker,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",2019,8.3,['Todd Phillips'],"['Todd Phillips', 'Scott Silver', 'Bob Kane']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']"
Capernaum,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2018,8.4,['Nadine Labaki'],"['Nadine Labaki', 'Jihad Hojeily', 'Michelle Keserwany']","['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']"
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",1984,8.3,['Sergio Leone'],"['Harry Grey', 'Leonardo Benvenuti', 'Piero De Bernardi']","['Robert De Niro', 'James Woods', 'Elizabeth McGovern']"
Singin' in the Rain,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1952,8.3,[],"['Betty Comden', 'Adolph Green']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']"
Come and See,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",1985,8.3,['Elem Klimov'],"['Ales Adamovich', 'Elem Klimov']","['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']"
Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,8.3,['Darren Aronofsky'],"['Hubert Selby Jr.', 'Darren Aronofsky']","['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']"
Star Wars: Episode VI - Return of the Jedi,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",1983,8.3,['Richard Marquand'],"['Lawrence Kasdan', 'George Lucas']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010,8.3,['Lee Unkrich'],"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']","['Tom Hanks', 'Tim Allen', 'Joan Cusack']"
The Hunt,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012,8.3,['Thomas Vinterberg'],"['Thomas Vinterberg', 'Tobias Lindholm']","['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']"
Ikiru,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,1952,8.3,['Akira Kurosawa'],"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]"
Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",2004,8.3,['Michel Gondry'],"['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']","['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']"
Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,2010,8.3,['Denis Villeneuve'],"['Wajdi Mouawad', 'Denis Villeneuve', 'Valérie Beaugrand-Champagne']","['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']"
2001: A Space Odyssey,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",1968,8.3,['Stanley Kubrick'],"['Stanley Kubrick', 'Arthur C. Clarke']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester']"
The Apartment,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",1960,8.3,['Billy Wilder'],"['Billy Wilder', 'I.A.L. Diamond']","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']"
Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1962,8.3,['David Lean'],"['Robert Bolt', 'Michael Wilson']","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']"
Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992,8.3,['Quentin Tarantino'],"['Quentin Tarantino', 'Roger Avary']","['Harvey Keitel', 'Tim Roth', 'Michael Madsen']"
Scarface,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",1983,8.3,['Brian De Palma'],"['Oliver Stone', 'Howard Hawks', 'Ben Hecht']","['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']"
Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,1995,8.3,['Michael Mann'],[],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']"
Double Indemnity,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",1944,8.3,['Billy Wilder'],"['Billy Wilder', 'Raymond Chandler', 'James M. Cain']","['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']"
North by Northwest,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1959,8.3,['Alfred Hitchcock'],[],"['Cary Grant', 'Eva Marie Saint', 'James Mason']"
Up,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",2009,8.3,[],"['Pete Docter', 'Bob Peterson', 'Tom McCarthy']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']"
Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",1941,8.3,['Orson Welles'],"['Herman J. Mankiewicz', 'Orson Welles', 'John Houseman']","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']"
M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1931,8.3,['Fritz Lang'],"['Thea von Harbou', 'Fritz Lang', 'Egon Jacobsohn']","['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']"
Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,8.2,['Stanley Kubrick'],"['Stanley Kubrick', 'Michael Herr', 'Gustav Hasford']","['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]"
Vertigo,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",1958,8.2,['Alfred Hitchcock'],"['Alec Coppel', 'Samuel A. Taylor', 'Pierre Boileau']","['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']"
Amélie,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",2001,8.3,['Jean-Pierre Jeunet'],"['Guillaume Laurant', 'Jean-Pierre Jeunet']","['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']"
Taare Zameen Par,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,2007,8.3,['Aamir Khan'],[],"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']"
A Separation,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,2011,8.3,['Asghar Farhadi'],[],"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']"
To Kill a Mockingbird,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,1962,8.3,['Robert Mulligan'],"['Harper Lee', 'Horton Foote']","['Gregory Peck', 'John Megna', 'Frank Overton']"
Die Hard,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",1988,8.2,['John McTiernan'],"['Roderick Thorp', 'Jeb Stuart', 'Steven E. de Souza']","['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']"
The Chaos Class Failed the Class,A young and beautiful female teacher starts working in an all boys high school.,1975,8.7,['Ertem Egilmez'],"['Sadik Sendil', 'Rifat Ilgaz']","['Münir Özkul', 'Tarik Akan', 'Kemal Sunal']"
Indiana Jones and the Last Crusade,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",1989,8.2,['Steven Spielberg'],"['Jeffrey Boam', 'George Lucas', 'Menno Meyjes']","['Harrison Ford', 'Sean Connery', 'Alison Doody']"
A Clockwork Orange,Alex DeLarge and his droogs barbarize a decaying near-future.,1971,8.2,['Stanley Kubrick'],"['Stanley Kubrick', 'Anthony Burgess']","['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']"
The Sting,Two grifters team up to pull off the ultimate con.,1973,8.2,['George Roy Hill'],[],"['Paul Newman', 'Robert Redford', 'Robert Shaw']"
Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",1927,8.3,['Fritz Lang'],"['Thea von Harbou', 'Fritz Lang']","['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']"
Oppenheimer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",2023,8.3,['Christopher Nolan'],"['Christopher Nolan', 'Kai Bird', 'Martin Sherwin']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon']"
Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,8.2,['Guy Ritchie'],[],"['Jason Statham', 'Brad Pitt', 'Stephen Graham']"
1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,8.2,['Sam Mendes'],"['Sam Mendes', 'Krysty Wilson-Cairns']","['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']"
L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",1997,8.2,['Curtis Hanson'],"['James Ellroy', 'Brian Helgeland', 'Curtis Hanson']","['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']"
Bicycle Thieves,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",1948,8.2,['Vittorio De Sica'],"['Cesare Zavattini', 'Luigi Bartolini', 'Oreste Biancoli']","['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']"
Downfall,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",2004,8.2,['Oliver Hirschbiegel'],"['Bernd Eichinger', 'Joachim Fest', 'Traudl Junge']","['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']"
Dangal,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",2016,8.3,['Nitesh Tiwari'],"['Piyush Gupta', 'Shreyas Jain', 'Nikhil Mehrotra']","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']"
